Price per area,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
236842,Secondary, Строгино,8.0,Moscow region,1.0,38.0,20.0,15.0,7.0,33,European-style renovation
231225,Secondary, Павшино,8.0,Moscow region,1.0,40.0,12.0,20.0,10.0,21,European-style renovation
201735,Secondary, Опалиха,6.0,Moscow region,1.0,46.1,17.9,10.4,19.0,24,Designer
203057,Secondary, Опалиха,6.0,Moscow region,1.0,45.8,18.8,12.8,14.0,17,European-style renovation
157000,Secondary, Аникеевка,3.0,Moscow region,1.0,59.34,35.1,14.5,3.0,3,Without renovation
172222,Secondary, Опалиха,15.0,Moscow region,1.0,54.0,26.0,12.0,7.0,10,European-style renovation
209641,Secondary, Аникеевка,6.0,Moscow region,1.0,44.6,17.9,10.4,19.0,24,European-style renovation
284848,Secondary, Пенягино,14.0,Moscow region,1.0,33.0,17.0,6.0,13.0,45,European-style renovation
224586,Secondary, Пенягино,11.0,Moscow region,1.0,42.3,18.0,8.5,3.0,16,Cosmetic
271429,Secondary, Пенягино,14.0,Moscow region,1.0,35.0,9.0,20.0,6.0,8,Cosmetic
251989,Secondary, Пенягино,10.0,Moscow region,1.0,37.7,18.0,8.0,8.0,17,Cosmetic
271429,Secondary, Пенягино,14.0,Moscow region,1.0,35.0,19.8,9.5,6.0,8,European-style renovation
226190,Secondary, Пенягино,9.0,Moscow region,1.0,42.0,19.4,8.7,7.0,19,European-style renovation
237500,Secondary, Опалиха,7.0,Moscow region,1.0,40.0,14.1,13.5,25.0,25,Designer
274566,Secondary, Опалиха,16.0,Moscow region,1.0,34.6,12.0,10.0,5.0,8,Designer
237500,Secondary, Опалиха,7.0,Moscow region,1.0,40.0,14.0,13.5,25.0,25,Cosmetic
221963,Secondary, Аникеевка,17.0,Moscow region,1.0,42.8,24.8,12.7,4.0,6,Designer
251323,Secondary, Пенягино,7.0,Moscow region,1.0,37.8,19.0,6.0,2.0,17,Cosmetic
248062,Secondary, Пенягино,6.0,Moscow region,1.0,38.7,18.9,9.0,6.0,26,European-style renovation
204255,Secondary, Павшино,3.0,Moscow region,1.0,47.0,23.0,12.0,15.0,25,Designer
280882,Secondary, Пенягино,18.0,Moscow region,1.0,34.0,14.0,9.5,3.0,7,European-style renovation
259459,Secondary, Пенягино,7.0,Moscow region,1.0,37.0,19.0,8.0,3.0,17,European-style renovation
215556,Secondary, Пятницкое шоссе,10.0,Moscow region,1.0,45.0,28.0,12.0,6.0,17,Cosmetic
262162,Secondary, Мякинино,16.0,Moscow region,1.0,37.0,17.0,9.3,17.0,19,European-style renovation
277143,Secondary, Пенягино,16.0,Moscow region,1.0,35.0,20.0,6.0,35.0,45,European-style renovation
235437,Secondary, Павшино,20.0,Moscow region,1.0,41.2,14.0,20.0,17.0,25,Designer
243781,Secondary, Мякинино,15.0,Moscow region,1.0,40.2,18.9,13.0,21.0,23,Cosmetic
